candidate_index,sample_index,k,ratio,config,best_iteration,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass
76,72,6,0.8999999761581421,combined20,64,9.260576843622609,12.99971145330076,0,20.053156309445384,8.92206073400305,11.540885566564338,0,8.92206073400305,0,7.123984373695868e-16,1.0020795085374337,1.200692618339832,0
76,72,6,0.8999999761581421,robust20,105,10.047927336798816,13.041902162824922,1,19.876965654562763,9.346573889102416,11.561307768574668,0,9.346573889102416,0,6.138046431227478e-16,0.9905976282906046,1.017039938099563,1
77,72,6,1.0,balanced30,44,9.808066757040635,13.139369487149096,0,28.370371688258555,8.59603823157277,11.625929061998468,0,8.59603823157277,0,5.916619044483102e-16,0.9743940998227897,1.3263924398868339,0
77,72,6,1.0,combined20,56,8.17412980456859,13.169909220920777,0,20.083740794071915,8.21219392789336,11.606852891134823,0,8.21219392789336,0,2.9942407146251213e-16,0.9172902061947567,1.2538762645519934,0
77,72,6,1.0,robust20,97,10.088703503213596,13.17768274749641,1,20.008179084836474,9.430821824409119,11.617004885433513,0,9.430821824409119,0,8.874933621428493e-16,0.9754443531247874,1.0217936044374383,1
78,73,6,0.5,balanced30,66,10.033964664672686,12.688328562206815,1,22.735248738205655,9.54098237598436,10.96191101087382,0,9.54098237598436,0,5.718416853340253e-16,1.0239216981955948,1.1942720436403025,0
78,73,6,0.5,combined20,48,10.175558065794132,12.618106750292853,1,20.1471597624076,8.886105151800205,10.985550688399144,0,8.886105151800205,0,4.5648351190505445e-16,1.0390552202730161,1.3009194252788292,0
78,73,6,0.5,robust20,108,10.33232464950938,12.61921527999167,1,19.99829901434356,10.01229815563389,11.032262681836913,1,-16.906595959862905,0,2.7782556574445043e-16,1.002838930297339,1.0290462953792219,1
79,73,6,0.6000000238418579,balanced30,70,10.071295271513922,12.788217936309534,1,23.073587295039736,8.551956788653145,11.282424925631405,0,7.071651594025747,0,4.292977381333064e-16,1.0100820005975064,1.187529783225838,0
79,73,6,0.6000000238418579,combined20,68,10.067171510098692,12.837797412997094,1,20.063942859785357,9.612207023744237,11.352376399528499,0,9.612207023744237,0,3.9015803895816567e-16,1.0006637084474246,1.1925502036475084,0
