destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
84,5,4,interior,68,4,4,interior,3,0.08233841058820583,0.08354891504176257,1
46,2,14,interior,77,4,13,interior,3,0.06703611466772412,0.08027010309732814,3
168,10,8,interior,136,8,8,interior,3,0.07199682140641246,0.07970735093889568,2
208,13,0,edge,176,11,0,edge,3,0.07802372804864699,0.07821259658841288,2
43,2,11,interior,75,4,11,interior,3,0.06715742695357436,0.07684652066437951,2
45,2,13,interior,13,0,13,edge,3,0.07017147707111569,0.07370532588862748,2
253,15,13,edge,255,15,15,corner,3,0.06691111790551424,0.07238915071259872,2
189,11,13,interior,157,9,13,interior,3,0.061134429042301645,0.07057804662782904,2
134,8,6,interior,102,6,6,interior,3,0.052361164644085634,0.06928827350561496,2
41,2,9,interior,73,4,9,interior,3,0.05461570976357225,0.06925178650088368,2
110,6,14,interior,78,4,14,interior,3,0.061727523878549996,0.06904659534519969,2
53,3,5,interior,21,1,5,interior,3,0.05562349010952295,0.06758963008103838,2
2,0,2,edge,4,0,4,edge,3,0.06620217234631808,0.06747157077337512,2
251,15,11,edge,248,15,8,edge,3,0.05074801593970851,0.06690078846703099,3
96,6,0,edge,81,5,1,interior,3,0.060126152396027,0.0662705957310965,2
220,13,12,interior,188,11,12,interior,3,0.05700493570952023,0.06410284950761079,2
217,13,9,interior,185,11,9,interior,3,0.05918632170950533,0.0614278799911332,2
142,8,14,interior,174,10,14,interior,3,0.04634929724499315,0.06132949788759668,2
199,12,7,interior,167,10,7,interior,3,0.054110889341943726,0.06083585128294268,2
74,4,10,interior,42,2,10,interior,3,0.04834004838623917,0.057681103636536904,2
124,7,12,interior,92,5,12,interior,3,0.05567132364090982,0.05700952753310332,2
52,3,4,interior,52,3,4,interior,3,0.05510880116068314,0.05639731975220674,0
251,15,11,edge,219,13,11,interior,3,0.04998122671081006,0.05614502245024589,2
78,4,14,interior,78,4,14,interior,3,0.05230062666865768,0.05584275229800294,0
90,5,10,interior,58,3,10,interior,3,0.04564235978862019,0.05451962237433603,2
44,2,12,interior,76,4,12,interior,3,0.052201012473723364,0.05443174714770367,2
10,0,10,edge,12,0,12,edge,3,0.04951470715697031,0.05341090250343952,2
189,11,13,interior,172,10,12,interior,3,0.047308692987683386,0.052516390105635254,2
110,6,14,interior,110,6,14,interior,3,0.049209024780120854,0.04987885183034258,0
205,12,13,interior,188,11,12,interior,3,0.04385201814670229,0.0494511065705026,2
220,13,12,interior,220,13,12,interior,3,0.046212439460479086,0.049278873435649476,0
82,5,2,interior,67,4,3,interior,3,0.04205978407302526,0.04594968211422554,2
201,12,9,interior,233,14,9,interior,3,0.04418801561310015,0.0451885954161007,2
75,4,11,interior,58,3,10,interior,3,0.03658864235361519,0.0447373438104248,2
163,10,3,interior,163,10,3,interior,3,0.03997896151256456,0.043493672964065096,0
110,6,14,interior,125,7,13,interior,3,0.04172414273612868,0.04297124808266899,2
142,8,14,interior,142,8,14,interior,3,0.04147267045359188,0.042061961682035964,0
69,4,5,interior,21,1,5,interior,3,0.03933246257887133,0.04101349240299871,3
76,4,12,interior,76,4,12,interior,3,0.03943846227527376,0.04069710611877585,0
191,11,15,edge,175,10,15,edge,2,0.16944005055973005,0.23871346309613253,1
2,0,2,edge,18,1,2,interior,2,0.23366093877025879,0.23472676522525437,1
61,3,13,interior,77,4,13,interior,2,0.1852695602804111,0.2150964130885812,1
158,9,14,interior,174,10,14,interior,2,0.1785347899672146,0.19663272801280107,1
80,5,0,edge,96,6,0,edge,2,0.19472574796412306,0.19489305668406184,1
239,14,15,edge,255,15,15,corner,2,0.12867747669799334,0.19430215294739817,1
60,3,12,interior,76,4,12,interior,2,0.13125039645005718,0.18933528893809826,1
247,15,7,edge,247,15,7,edge,2,0.12475210964562158,0.18471060931624192,0
128,8,0,edge,112,7,0,edge,2,0.17995224470455054,0.18240846259453,1
28,1,12,interior,12,0,12,edge,2,0.16885272411828772,0.17819733117325096,1
191,11,15,edge,207,12,15,edge,2,0.1477320079111119,0.17325395901773252,1
111,6,15,edge,127,7,15,edge,2,0.14662007874445557,0.16314881377579457,1
51,3,3,interior,35,2,3,interior,2,0.14431118964327644,0.16095087993143334,1
151,9,7,interior,135,8,7,interior,2,0.12094924188430703,0.15967754555401845,1
220,13,12,interior,204,12,12,interior,2,0.15846874908028333,0.1595086350049595,1
114,7,2,interior,130,8,2,interior,2,0.11722383334253295,0.1576118685615493,1
239,14,15,edge,223,13,15,edge,2,0.11863134928771783,0.15524367766297495,1
155,9,11,interior,139,8,11,interior,2,0.12145765866807784,0.15050068900402655,1
213,13,5,interior,197,12,5,interior,2,0.11235652347928193,0.15020659583261797,1
164,10,4,interior,180,11,4,interior,2,0.09977183342614028,0.1499400883280646,1
79,4,15,edge,95,5,15,edge,2,0.1485027729034078,0.14886981659444937,1
81,5,1,interior,65,4,1,interior,2,0.12222054296525758,0.1485631312214642,1
77,4,13,interior,61,3,13,interior,2,0.10611128662084851,0.14704769204945445,1
139,8,11,interior,155,9,11,interior,2,0.10918919578134587,0.14680600892974396,1
106,6,10,interior,122,7,10,interior,2,0.12062263062769227,0.1439826087960695,1
95,5,15,edge,111,6,15,edge,2,0.12041477488934285,0.1404692754780465,1
217,13,9,interior,201,12,9,interior,2,0.1391573369751877,0.14039081476857782,1
234,14,10,interior,218,13,10,interior,2,0.1403019693567152,0.1403770975104509,1
174,10,14,interior,158,9,14,interior,2,0.1309705867674979,0.140343777274201,1
190,11,14,interior,206,12,14,interior,2,0.11963660033118237,0.13789426782542075,1
210,13,2,interior,210,13,2,interior,2,0.09799615585204217,0.13716672519227047,0
14,0,14,edge,14,0,14,edge,2,0.1043532894169163,0.135705300334879,0
57,3,9,interior,73,4,9,interior,2,0.11124572958984756,0.13535303011469565,1
239,14,15,edge,239,14,15,edge,2,0.09937632007646974,0.1350908016672279,0
190,11,14,interior,174,10,14,interior,2,0.11838114853140162,0.1343858050932393,1
25,1,9,interior,9,0,9,edge,2,0.13295456180645188,0.1335097386881735,1
238,14,14,interior,222,13,14,interior,2,0.1010463983721003,0.13257324098342102,1
178,11,2,interior,194,12,2,interior,2,0.12507839011232302,0.12711775415854284,1
247,15,7,edge,215,13,7,interior,2,0.0977420817224777,0.12482399913164471,2
215,13,7,interior,231,14,7,interior,2,0.12386191657513895,0.12445203924680938,1
36,2,4,interior,52,3,4,interior,2,0.10122984690935,0.1239320051388929,1
196,12,4,interior,212,13,4,interior,2,0.11911060133138925,0.12059955065459735,1
95,5,15,edge,79,4,15,edge,2,0.1151005268166071,0.12046859489522091,1
197,12,5,interior,181,11,5,interior,2,0.11943204628147798,0.12018449135573873,1
238,14,14,interior,254,15,14,edge,2,0.10986045899564002,0.11903411330989856,1
174,10,14,interior,190,11,14,interior,2,0.1039735263878046,0.11876476860664847,1
111,6,15,edge,95,5,15,edge,2,0.11171651542825813,0.11873340640529845,1
110,6,14,interior,126,7,14,interior,2,0.10729784828027339,0.11726309325895999,1
