port_index,ix,iy,port_class,observed_case_count,active_rl_fail10_count,active_rl_fail11_count,fail10_rate_when_observed,fail11_rate_when_observed,worst_gamma,worst_active_rl_db
94,5,14,interior,255,0,5,0.0,0.0196078431372549,0.30739487049317604,10.246067677200125
34,2,2,interior,256,0,5,0.0,0.01953125,0.3060932581203483,10.282924717649855
139,8,11,interior,460,0,5,0.0,0.010869565217391304,0.30374899773491365,10.34970292821268
182,11,6,interior,400,0,5,0.0,0.0125,0.30143880414644486,10.416016835920443
166,10,6,interior,315,0,5,0.0,0.015873015873015872,0.2990247705653697,10.485856683393129
249,15,9,edge,260,0,5,0.0,0.019230769230769232,0.2980591321860187,10.513951347031472
38,2,6,interior,280,0,5,0.0,0.017857142857142856,0.2977191428426559,10.523864800941798
210,13,2,interior,305,0,5,0.0,0.01639344262295082,0.28886350206347977,10.786146556938693
85,5,5,interior,260,0,5,0.0,0.019230769230769232,0.2875169068013127,10.826732249773496
8,0,8,edge,430,2,4,0.004651162790697674,0.009302325581395349,0.34859421812363595,9.153596409800159
221,13,13,interior,325,1,4,0.003076923076923077,0.012307692307692308,0.31802081715409375,9.950889016710857
218,13,10,interior,335,0,4,0.0,0.011940298507462687,0.3140619084484061,10.059694691567902
231,14,7,interior,130,0,4,0.0,0.03076923076923077,0.30804059219464713,10.227841007357355
248,15,8,edge,500,0,4,0.0,0.008,0.30803165661479726,10.228092969560112
164,10,4,interior,220,0,4,0.0,0.01818181818181818,0.30438080276415613,10.331654838062391
91,5,11,interior,280,0,4,0.0,0.014285714285714285,0.3028658235542412,10.374994624410602
185,11,9,interior,365,0,4,0.0,0.010958904109589041,0.3019606299062223,10.40099354675613
10,0,10,edge,440,0,4,0.0,0.00909090909090909,0.3008760191684713,10.432248512253118
9,0,9,edge,465,0,4,0.0,0.008602150537634409,0.29379536214092156,10.639101285449188
179,11,3,interior,220,0,4,0.0,0.01818181818181818,0.29025914414896514,10.744281792450467
93,5,13,interior,315,2,3,0.006349206349206349,0.009523809523809525,0.3375324163931832,9.433690229421938
26,1,10,interior,75,1,3,0.013333333333333334,0.04,0.3255586731919517,9.747414602917935
97,6,1,interior,200,0,3,0.0,0.015,0.3111482393232127,10.140653043799217
232,14,8,interior,65,0,3,0.0,0.046153846153846156,0.3086627955734718,10.210314294121027
115,7,3,interior,170,0,3,0.0,0.01764705882352941,0.3006948938978214,10.437478931892425
147,9,3,interior,345,0,3,0.0,0.008695652173913044,0.2981856891343615,10.510264070720005
236,14,12,interior,135,0,3,0.0,0.022222222222222223,0.29447801227672116,10.618942540687524
234,14,10,interior,110,0,3,0.0,0.02727272727272727,0.29212070131506046,10.68875330775024
228,14,4,interior,145,0,3,0.0,0.020689655172413793,0.2915009935351725,10.707199213563655
30,1,14,interior,120,0,3,0.0,0.025,0.29098025319575566,10.722729651148262
106,6,10,interior,245,0,3,0.0,0.012244897959183673,0.2906886657586669,10.73143802949897
25,1,9,interior,205,0,3,0.0,0.014634146341463415,0.2904268926469206,10.739263435237117
202,12,10,interior,100,0,3,0.0,0.03,0.28404245277280027,10.932334915459984
141,8,13,interior,350,0,2,0.0,0.005714285714285714,0.30928382883761846,10.192855737032314
223,13,15,edge,160,0,2,0.0,0.0125,0.3013094865622047,10.419743891806029
238,14,14,interior,205,0,2,0.0,0.00975609756097561,0.29500875136227284,10.603302011828555
42,2,10,interior,345,0,2,0.0,0.005797101449275362,0.2926024323233856,10.67444136050712
6,0,6,edge,295,0,2,0.0,0.006779661016949152,0.29179738302750585,10.698372147536057
209,13,1,interior,260,0,2,0.0,0.007692307692307693,0.2904473716564202,10.738650984566068
57,3,9,interior,215,0,2,0.0,0.009302325581395349,0.2898368869912813,10.756926870235574
21,1,5,interior,200,0,2,0.0,0.01,0.288244630011582,10.80477549700953
89,5,9,interior,165,0,2,0.0,0.012121212121212121,0.2870380814027987,10.841209630061332
225,14,1,interior,125,0,2,0.0,0.016,0.2866930129844859,10.851657822916037
20,1,4,interior,170,0,1,0.0,0.0058823529411764705,0.2997263586221503,10.465501250477814
233,14,9,interior,125,0,1,0.0,0.008,0.2926967532196292,10.671641900256146
226,14,2,interior,125,0,1,0.0,0.008,0.28854153798801996,10.795833153080817
235,14,11,interior,140,0,1,0.0,0.007142857142857143,0.2884062075289596,10.799907925753935
144,9,0,edge,175,0,1,0.0,0.005714285714285714,0.28833463371688406,10.802063771816483
255,15,15,corner,420,0,1,0.0,0.002380952380952381,0.28653564365413914,10.856426923882355
203,12,11,interior,225,0,1,0.0,0.0044444444444444444,0.28605053001718006,10.871144864043988
150,9,6,interior,265,0,1,0.0,0.0037735849056603774,0.2835161080807288,10.948445229118812
87,5,7,interior,190,0,1,0.0,0.005263157894736842,0.28323978109284575,10.956914998756154
27,1,11,interior,120,0,1,0.0,0.008333333333333333,0.2824279296477429,10.98184715154658
16,1,0,edge,180,0,1,0.0,0.005555555555555556,0.28204688000146305,10.993574001426783
177,11,1,interior,120,0,1,0.0,0.008333333333333333,0.2818669271787653,10.999117580573687
24,1,8,interior,140,0,0,0.0,0.0,0.27948975960890915,11.072681997183842
224,14,0,edge,160,0,0,0.0,0.0,0.27931168654667154,11.07821785622324
28,1,12,interior,255,0,0,0.0,0.0,0.2780349732794188,11.118011437972836
64,4,0,edge,185,0,0,0.0,0.0,0.2776228866819412,11.130894687256763
192,12,0,edge,85,0,0,0.0,0.0,0.2737081376389283,11.254245807066436
229,14,5,interior,15,0,0,0.0,0.0,0.27339423067896124,11.264213088028773
239,14,15,edge,65,0,0,0.0,0.0,0.27240093459457987,11.295828134261953
29,1,13,interior,15,0,0,0.0,0.0,0.26675328303220114,11.477804536926842
237,14,13,interior,120,0,0,0.0,0.0,0.26663316135406295,11.481716761049023
23,1,7,interior,90,0,0,0.0,0.0,0.265820013459192,11.508246486851109
47,2,15,edge,65,0,0,0.0,0.0,0.26581655652200653,11.508359445878288
22,1,6,interior,100,0,0,0.0,0.0,0.2605245062661852,11.683028369700184
