stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass
451,k6_supported_scene,421022,6,0.5,edge,task,5,P11,5.072575820323132,0.5576622016234959,0.34107608779343285,0.19020524204001454,0.08234751275533439,0.0940769396300678,False,False
1306,k6_supported_scene,421036,6,0.5,corner,task,3,P10,5.076551253778682,0.5574070243409442,0.1900055162995695,0.10591040944890781,0.045825389498619064,0.05235957905042815,False,False
84,old_285_replay,426113,4,0.800000011920929,corner,task,3,P11,5.086109391287089,0.5567939791738572,0.43572592365539337,0.2426095708612908,0.10482093542812249,0.1198053202673109,False,False
625,k6_supported_scene,421025,6,0.5,edge,task,0,P10,5.093708522081775,0.5563070630247752,0.3832320942619304,0.2131947208156883,0.0920060917812838,0.10518524149763282,False,False
892,k6_supported_scene,421029,6,0.5,edge,task,5,P10,5.098251505258119,0.5560161736716785,0.3798719993989638,0.21121497559082208,0.09108890184853816,0.10415249967368805,False,False
8,old_285_replay,426105,2,0.800000011920929,corner,task,1,P10,5.11690964331876,0.5548230786045053,0.48363866591364313,0.2683338935543833,0.1153939186731481,0.13202599746333096,False,False
1339,k6_supported_scene,421036,6,0.5,interior,task,0,P10,5.131616158655035,0.5538844746491515,0.39951800243197616,0.2212868188899135,0.09494813349734005,0.10868734701119828,False,False
156,old_285_replay,426102,2,0.699999988079071,edge,combined,-1,P11,5.161153980837895,0.5520040968260775,0.4338570474899915,0.23949086765134137,0.10229322275292019,0.11721333792588301,False,False
700,k6_supported_scene,421026,6,0.5,edge,task,4,P10,5.222051885372435,0.5481474596357298,0.4443898044399165,0.24359114239175897,0.1030627472930647,0.11834507842561806,False,False
685,k6_supported_scene,421026,6,0.5,edge,combined,-1,P10,5.225695222110712,0.5479175848530663,0.4636372710661706,0.25403501381044263,0.10742003533904437,0.12336427670335004,False,False
232,old_285_replay,426110,4,0.699999988079071,interior,task,1,P11,5.258594304907803,0.5458461918507229,0.4414140379577168,0.24094417164867016,0.10135679653682966,0.1165367926286153,False,False
1444,k6_supported_scene,421038,6,0.5,edge,task,0,P11,5.316987805964349,0.5421888843824636,0.34843790095439264,0.18891915679502946,0.07873341778062563,0.09071601352948201,False,False
1480,k6_supported_scene,421038,6,0.5,interior,task,5,P10,5.328149153970749,0.5414926203702374,0.5207495929223968,0.28198206162828304,0.11730658120425574,0.1352148852127435,False,False
1138,k6_supported_scene,421033,6,0.5,edge,task,3,P01,5.353828705253102,0.5398940791650856,0.41794939809969456,0.22564840542463638,0.09348120095548793,0.10785426045099325,False,False
1468,k6_supported_scene,421038,6,0.5,interior,task,1,P10,5.355385418498884,0.5397973262717299,0.48783420604382177,0.26333160008634715,0.10906487892251157,0.12584124012626177,False,False
1390,k6_supported_scene,421037,6,0.5,edge,task,3,P00,5.360965576328908,0.5394506505659413,0.3178810777303505,0.17148115418424015,0.0709583311145466,0.08189009381952325,False,False
1507,k6_supported_scene,421039,6,0.5,edge,task,0,P11,5.389613665469067,0.5376743474886554,0.34384669701017007,0.18487754845107257,0.07614367560327794,0.08796838226856021,False,False
307,k6_supported_scene,421020,6,0.5,edge,combined,-1,P10,5.435126571153891,0.5348643738409645,0.3835919674781653,0.20516967749563253,0.08386724655800876,0.09705877212457147,False,False
