stimulus_index,stimulus_family,sample_index,k_value,ratio,window_role,source_type,task_index,worst_port,active_rl_db,worst_gamma_magnitude,source_port_magnitude,reflected_port_magnitude,required_b_reduction_for_10db,required_b_reduction_for_11db,stop_line_pass,design_line_pass,s_column_port,coupling_relation,d_active_rl_db_d_re_s,d_active_rl_db_d_im_s,jacobian_magnitude
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P01,x_neighbor,-0.0,-0.0,0.0
116,old_285_replay,426109,2,0.6000000238418579,edge,combined,-1,P11,3.286082163063498,0.6850083916909813,0.37484808989463403,0.2567740871871596,0.13823671312410063,0.1511275413495476,False,False,P11,self,8.50614424019332,9.403578540571715,12.67997552062601
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P00,diagonal,0.0,-0.0,0.0
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P10,y_neighbor,19.289183494978413,17.27708972591814,25.895374670013442
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P01,x_neighbor,0.0,-0.0,0.0
117,old_285_replay,426109,2,0.6000000238418579,edge,task,0,P11,9.070516379938505,0.35194449864840727,0.6899109597368983,0.24281036683664417,0.024641365288512185,0.048367039535168965,False,False,P11,self,5.926716509728929,23.95751080577222,24.67971419193071
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P00,diagonal,-0.0,-0.0,0.0
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P10,y_neighbor,24.25406238723003,22.3825503278379,33.003607400734886
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P01,x_neighbor,-0.0,-0.0,0.0
118,old_285_replay,426109,2,0.6000000238418579,edge,task,1,P11,5.575155799582227,0.5263107128721298,0.44724710587837563,0.2353909431248448,0.09395898997542987,0.1093395821983408,False,False,P11,self,-2.4842347076398656,16.315303322569633,16.503349496090003
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P00,x_neighbor,-22.181953201209566,14.383615893465144,26.437236126179954
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P10,self,-18.743893627223073,7.667304253459385,20.251446931608864
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P01,diagonal,22.157955143527918,11.65066478828889,25.034235881122278
135,old_285_replay,426110,4,0.699999988079071,edge,combined,-1,P10,7.352835026008848,0.4289021751086795,0.4186210468342758,0.17954747753349326,0.047167879085460135,0.06156403622691521,False,False,P11,y_neighbor,23.550653547581856,7.0637717653851055,24.587194920764784
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P00,diagonal,20.072058172970323,4.02744056953374,20.472122431253457
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P10,y_neighbor,17.817002492685013,10.357727889569407,20.60893264724566
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P01,x_neighbor,-13.69819148093379,15.236628908941153,20.48890700738105
136,old_285_replay,426110,4,0.699999988079071,edge,task,0,P11,6.271222251689999,0.48577916877637256,0.4493541027444441,0.21828686251744878,0.07618861845607255,0.0916416691905893,False,False,P11,self,-11.921918094317146,13.325686001438045,17.880325457231713
137,old_285_replay,426110,4,0.699999988079071,edge,task,1,P11,7.251588601879111,0.4339308927912284,0.5052248612710635,0.219232675111677,0.059466545895761724,0.07684096256599529,False,False,P00,diagonal,1.0832211031263181,22.16856193618974,22.195010842009935
137,old_285_replay,426110,4,0.699999988079071,edge,task,1,P11,7.251588601879111,0.4339308927912284,0.5052248612710635,0.219232675111677,0.059466545895761724,0.07684096256599529,False,False,P10,y_neighbor,13.762150269017251,10.599671610270683,17.370947535255233
137,old_285_replay,426110,4,0.699999988079071,edge,task,1,P11,7.251588601879111,0.4339308927912284,0.5052248612710635,0.219232675111677,0.059466545895761724,0.07684096256599529,False,False,P01,x_neighbor,-14.970318511059912,12.270111648451593,19.356292935065085
137,old_285_replay,426110,4,0.699999988079071,edge,task,1,P11,7.251588601879111,0.4339308927912284,0.5052248612710635,0.219232675111677,0.059466545895761724,0.07684096256599529,False,False,P11,self,5.678500737545481,19.194406145627212,20.016757927036945
138,old_285_replay,426110,4,0.699999988079071,edge,task,2,P10,8.206078481668982,0.3887729821398326,0.5412492396731473,0.21042308098864645,0.03926504306849499,0.05787831912318028,False,False,P00,x_neighbor,-9.622741188960912,20.550919118438678,22.692232693199966
138,old_285_replay,426110,4,0.699999988079071,edge,task,2,P10,8.206078481668982,0.3887729821398326,0.5412492396731473,0.21042308098864645,0.03926504306849499,0.05787831912318028,False,False,P10,self,-4.217999240759757,21.940024464593073,22.341803667161535
138,old_285_replay,426110,4,0.699999988079071,edge,task,2,P10,8.206078481668982,0.3887729821398326,0.5412492396731473,0.21042308098864645,0.03926504306849499,0.05787831912318028,False,False,P01,diagonal,8.294011705081214,16.990361287743195,18.906692118191028
