candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,parent_candidate_index,k,active_ratio,active_count,implementation_delta_norm,implementation_delta_max,task_mixing_amplitude,coherent_mode_amplitude,boundary_metric_code,nominal_eep_gate15,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
49,200016,gate15_nearest_200016_65739b34afb991b2,65739b34afb991b2,nearest,inside,gate15_nearest_inside,7,4,0.59375,152,0.015015305951237679,0.029586073011159897,0.04,0.0,2,1,1,1,1,0,-6.07305908203125,-5.948188781738281,28.69241714477539,25.455596923828125,22.50377655029297,22.61339569091797,0.9999544583259221,9.948173139517243,11.51212138649061,10.037385696865865,0,5
50,200016,gate15_nearest_200016_65739b34afb991b2,65739b34afb991b2,nearest,outside,gate15_nearest_outside,7,4,0.59375,152,0.020020408555865288,0.03944805637001991,0.04,0.0,2,1,0,0,1,1,-6.07305908203125,-5.866355895996094,28.69241714477539,24.30108642578125,22.50377655029297,21.955474853515625,0.9999544583259221,9.90892294807409,11.516247276720492,10.037385696865865,0,5
51,200017,gate15_nearest_200017_93f6cb849cf44c86,93f6cb849cf44c86,nearest,control,nominal_control,8,2,0.5625,144,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-12.813758850097656,-12.813758850097656,33.13616943359375,33.13616943359375,24.077667236328125,24.077667236328125,0.13950589904607988,10.05926535447503,11.376963269281257,10.050035475928558,1,3
52,200017,gate15_nearest_200017_93f6cb849cf44c86,93f6cb849cf44c86,nearest,inside,gate15_nearest_inside,8,2,0.5625,144,0.031934916973114014,0.04132496565580368,0.05,0.0,2,1,1,1,1,0,-12.813758850097656,-12.528068542480469,33.13616943359375,25.239639282226562,24.077667236328125,22.578514099121094,0.2786531179695937,10.088368004063359,11.388900118639203,10.050035475928558,1,3
53,200017,gate15_nearest_200017_93f6cb849cf44c86,93f6cb849cf44c86,nearest,outside,gate15_nearest_outside,8,2,0.5625,144,0.035483237355947495,0.04591664671897888,0.05,0.0,2,1,0,0,1,1,-12.813758850097656,-12.495841979980469,33.13616943359375,24.515701293945312,24.077667236328125,22.28356170654297,0.2786531179695937,10.091647403716927,11.390121449359889,10.050035475928558,1,3
54,200018,gate15_nearest_200018_7ee4c03f2e6c84d7,7ee4c03f2e6c84d7,nearest,control,nominal_control,9,4,0.65234375,167,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.835762023925781,-6.835762023925781,27.684188842773438,27.684188842773438,22.9678955078125,22.9678955078125,0.9999999999999002,10.055416377503274,12.063700938738647,10.020814028847052,1,5
55,200018,gate15_nearest_200018_7ee4c03f2e6c84d7,7ee4c03f2e6c84d7,nearest,inside,gate15_nearest_inside,9,4,0.65234375,167,0.019727546721696854,0.033302973955869675,0.045,0.0,2,1,1,1,1,0,-6.835762023925781,-6.83172607421875,27.684188842773438,25.26336669921875,22.9678955078125,23.024734497070312,0.9999499906029855,9.84019300572316,12.056189072540347,9.555101376219776,0,5
56,200018,gate15_nearest_200018_7ee4c03f2e6c84d7,7ee4c03f2e6c84d7,nearest,outside,gate15_nearest_outside,9,4,0.65234375,167,0.022193489596247673,0.03746585547924042,0.045,0.0,2,1,0,0,1,1,-6.835762023925781,-6.830108642578125,27.684188842773438,24.561660766601562,22.9678955078125,23.024734497070312,0.9999499906029855,9.780064060771545,12.055210022719752,9.500105987989956,0,5
57,200019,gate15_nearest_200019_40626854940e7572,40626854940e7572,nearest,control,nominal_control,10,2,0.65625,168,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-10.966888427734375,-10.966888427734375,27.922935485839844,27.922935485839844,24.665267944335938,24.665267944335938,8.537736462515939e-07,10.11538816198083,11.529115051610406,10.064926204368398,1,3
58,200019,gate15_nearest_200019_40626854940e7572,40626854940e7572,nearest,inside,gate15_nearest_inside,10,2,0.65625,168,0.06025952845811844,0.07743337005376816,0.09,0.0,2,1,1,1,1,0,-10.966888427734375,-10.531951904296875,27.922935485839844,25.29153823852539,24.665267944335938,20.93646240234375,0.007828330786939189,8.357419852432473,11.578559570777893,9.337609688335968,0,3
