trial,active_rl_min_db,total_rl_min_db,passive_rl_min_db,integrated_vs_target_max_abs_delta_s,joint_gate_pass
30,12.298577185018624,13.044782082177782,14.614702484543582,0.041629356239783914,1
31,12.529883892083886,13.069748185487331,14.849504601940072,0.039653668432461056,1
32,12.577649541033596,13.073052516539219,14.761220381685725,0.03951071647070144,1
33,12.444608428119802,13.083165497752907,14.754524717241972,0.041327321251956164,1
34,12.463663424213161,13.073356539108191,14.796197057451781,0.040585760906121496,1
35,12.457168222599398,13.049318475419692,14.770478118813067,0.038062593737243605,1
36,12.44160516139699,13.075648202137558,14.792148154856493,0.04160472838325501,1
37,12.495970178256888,13.056155419901579,14.906746087785445,0.03997510038097738,1
38,12.54963581823888,13.051156190754407,14.744511496581653,0.037811479864132,1
39,12.437369201036681,13.055907178910893,14.699680429468643,0.04243176070443387,1
40,12.476624497120037,13.067473556394635,14.742494887696013,0.03857108482823367,1
41,12.463118765175468,13.06404486694074,14.750284004423335,0.038093868421042634,1
42,12.578532253954197,13.066570114725142,14.779568079995657,0.03871551532374379,1
43,12.422496275862509,13.025369725756779,14.758411579126827,0.03889277531552923,1
44,12.4442180417362,13.028108605108358,14.7753958402484,0.03922246890569866,1
45,12.458092065197626,13.084157512123637,14.80881179428505,0.03898367798727146,1
46,12.393176237594083,13.081984531076934,14.750135845005323,0.03899512743595917,1
47,12.470455751891505,13.043682998319792,14.766199881780208,0.03788151608390701,1
48,12.585877478728877,13.0313353919991,14.822994238658582,0.03760273913566354,1
49,12.402894805735912,13.064636272587078,14.665071811930675,0.04028849349148856,1
50,12.514727695389334,13.025007764777847,14.80659354590224,0.039071403463726076,1
51,12.542508160083898,13.098171886780843,14.793450914940713,0.038526897425424915,1
52,12.523178157585132,13.068413195684812,14.811828614747316,0.0382283473062302,1
53,12.46743367108011,13.057436019144905,14.694267727862186,0.0396757355718367,1
54,12.367247761665963,13.073044070791667,14.713572556956171,0.038941207874789066,1
55,12.474843958121518,13.065914502227239,14.800995207272125,0.0401507395792297,1
56,12.494205449774485,13.013750502492718,14.685729074311526,0.03970475803252825,1
57,12.509670190780934,13.052309517982126,14.726247655757499,0.03826077295210835,1
58,12.487834103468868,13.076433924219417,14.795271444974098,0.040690730294996987,1
59,12.4435806340318,13.111778066059152,14.773540077563554,0.03800441187720824,1
60,12.50110347259281,13.080013394924004,14.776914782659919,0.039499243692621366,1
61,12.357950849238858,13.030175629296416,14.802911716165259,0.038535501806604984,1
62,12.467066797879587,13.041895333149746,14.706862570226216,0.0390146308088189,1
63,12.50210755057606,13.038894062670131,14.718384165138767,0.040445644660007114,1
64,12.379207572021059,13.014440095767112,14.767750522449886,0.038328646820020684,1
65,12.497588226069587,13.038537212642966,14.72239780993749,0.03960431517752155,1
66,12.406394372570793,13.069920687528162,14.764978017278773,0.039391056517373874,1
67,12.539057757415431,13.033353015150995,14.821494793781714,0.0396671523592626,1
68,12.539601009347141,13.047878047830306,14.756269973835108,0.038106639627208005,1
69,12.476231683992507,13.08226334896297,14.76950391554456,0.038593122169115465,1
70,12.475312194445875,13.065106416121747,14.780998060525437,0.03919563703332288,1
71,12.377021714474534,13.070949633015124,14.705300683296604,0.03845938484362049,1
72,12.37012343921063,13.070876260159935,14.802803790209197,0.04120668360374198,1
73,12.470691342781615,13.091939846542198,14.746352511848206,0.03802227297287971,1
74,12.583199299440537,13.042982849664739,14.773440749171769,0.03976624720562225,1
75,12.560229819699513,13.063421104686517,14.744979125262434,0.03847209041252543,1
76,12.45142094747656,13.062703759426315,14.805116747581978,0.03827647788176916,1
77,12.539326616994977,13.0492637243084,14.777608610192345,0.038605332026181785,1
78,12.505179652066333,13.098657876370364,14.757530111050244,0.039088185873485205,1
79,12.487259441643664,13.041687061673418,14.744003969974429,0.0393902115510428,1
80,12.448657560471204,13.059418705708465,14.711417066170968,0.04057682611922207,1
81,12.558749365623607,13.02809260515032,14.739682815550193,0.040707318550886044,1
82,12.507385406616397,13.095345576817891,14.765969670450374,0.03867353551649535,1
83,12.363412932313906,13.058517390103697,14.732203406343501,0.040377902117284085,1
84,12.608757893023617,13.084575547327056,14.83158821632209,0.03818935685302541,1
85,12.455930500079868,13.05367302973664,14.767375515743872,0.03959400907986233,1
86,12.455846690531832,13.04690757167618,14.794851655934702,0.04362005092072454,1
87,12.566765774960844,13.036070901602619,14.767716644826569,0.03874752697604798,1
88,12.569673609265152,13.099113481424979,14.819039447765823,0.038749907930570655,1
89,12.525072519960466,13.074092364651595,14.76825174831444,0.0407737890127917,1
90,12.523832478348805,13.07685730419826,14.802458669498366,0.03914490829110626,1
91,12.511796133646552,13.082737051911025,14.788048100088318,0.04010108433460489,1
92,12.506080875514824,12.989835090376836,14.712338989113578,0.04101879133576427,1
93,12.48801412816337,13.063499240097016,14.732168969158753,0.03847299742056003,1
